year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,votes,vote_pct,rank
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_192,พลังประชารัฐ,192,1657,1.0,7
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_242,ท้องที่ไทย,242,956,0,8
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_145,เสรีรวมไทย,145,808,0,9
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_118,ครูไทยเพื่อประชาชน,118,651,0,10
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_234,ไทยภักดี,234,633,0,11
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_170,ทางเลือกใหม่,170,514,0,12
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_45,ชาติพัฒนากล้า,45,464,0,13
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_227,ไทยสร้างไทย,227,440,0,14
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_185,เพื่อชาติไทย,185,294,0,15
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_187,ประชาชาติ,187,260,0,16
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_244,ใหม่,244,256,0,17
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_205,ประชาไทย,205,230,0,18
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_221,ไทยรวมไทย,221,211,0,19
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_226,พลังสังคมใหม่,226,207,0,20
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_250,รวมใจไทย,250,200,0,21
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_149,เพื่อชาติ,149,195,0,22
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_252,เปลี่ยน,252,156,0,23
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_183,ไทยพร้อม,183,140,0,24
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_203,เป็นธรรม,203,139,0,25
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_206,กรีน,206,107,0,26
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_247,พลัง,247,104,0,27
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_245,แรงงานสร้างชาติ,245,96,0,28
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_175,พลังธรรมใหม่,175,95,0,29
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_238,เพื่อไทรวมพลัง,238,95,0,30
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_237,ไทยชนะ,237,80,0,33
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_246,ไทยก้าวหน้า,246,74,0,34
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_181,รวมพลัง,181,61,0,35
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_180,ไทยศรีวิไลย์,180,60,0,36
2566,pv_85_z_1,pv_85,ระนอง,ภาคใต้,1,ely_y2566_id_178,ไทยธรรม,178,55,0,37
