year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,candidate_id,votes,vote_pct,rank,eligible_voters,total_votes,invalid_votes
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_8,พลังท้องถิ่นไท,8,v62_cand_8,226,0.26,13,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_5,ชาติพัฒนา,5,v62_cand_5,195,0.22,14,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_16,ไทยศรีวิไลย์,16,v62_cand_16,178,0.20,15,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_15,รักษ์ผืนป่าประเทศไทย,15,v62_cand_15,159,0.18,16,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_7,ประชานิยม,7,v62_cand_7,122,0.14,17,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_25,พลังชาติไทย,25,v62_cand_25,119,0.14,18,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_14,แผ่นดินธรรม,14,v62_cand_14,114,0.13,19,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_29,พลังปวงชนไทย,29,v62_cand_29,112,0.13,20,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_24,เครือข่ายชาวนาแห่งประเทศไทย,24,v62_cand_24,82,0.09,21,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_10,ประชาภิวัฒน์,10,v62_cand_10,81,0.09,22,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_20,ประชาธิปไตยใหม่,20,v62_cand_20,81,0.09,23,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_18,ชาติไทยพัฒนา,18,v62_cand_18,68,0.08,24,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_31,พลังประชาธิปไตย,31,v62_cand_31,59,0.07,25,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_26,ประชากรไทย,26,v62_cand_26,54,0.06,26,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_30,ไทรักธรรม,30,v62_cand_30,53,0.06,27,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_19,ประชาชนปฏิรูป,19,v62_cand_19,51,0.06,28,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_27,ภาคีเครือข่ายไทย,27,v62_cand_27,37,0.04,29,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_28,ประชาธรรมไทย,28,v62_cand_28,31,0.04,30,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_6,เพื่อแผ่นดิน,6,v62_cand_6,0,0.00,31,0,86951,0
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,v62_22,เพื่อนไทย,22,v62_cand_22,0,0.00,32,0,86951,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_2,พลังประชารัฐ,2,v62_cand_2,30112,33.78,1,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_6,เพื่อไทย,6,v62_cand_6,26446,29.66,2,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_12,ภูมิใจไทย,12,v62_cand_12,11536,12.94,3,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_16,อนาคตใหม่,16,v62_cand_16,8242,9.24,4,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_14,ประชาธิปัตย์,14,v62_cand_14,5351,6.00,5,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_5,พลังท้องถิ่นไท,5,v62_cand_5,1135,1.27,6,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_3,เสรีรวมไทย,3,v62_cand_3,1011,1.13,7,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_22,เครือข่ายชาวนาแห่งประเทศไทย,22,v62_cand_22,738,0.83,8,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_19,เศรษฐกิจใหม่,19,v62_cand_19,612,0.69,9,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_1,ชาติพัฒนา,1,v62_cand_1,582,0.65,10,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_11,เพื่อชาติ,11,v62_cand_11,487,0.55,11,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_10,รวมพลังประชาชาติไทย,10,v62_cand_10,472,0.53,12,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_26,พลังไทยรักไทย,26,v62_cand_26,467,0.52,13,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_23,พลังชาติไทย,23,v62_cand_23,322,0.36,14,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_13,ชาติไทยพัฒนา,13,v62_cand_13,220,0.25,15,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_25,พลังปวงชนไทย,25,v62_cand_25,220,0.25,16,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_17,ประชานิยม,17,v62_cand_17,210,0.24,17,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_4,แผ่นดินธรรม,4,v62_cand_4,175,0.20,18,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_18,ไทยศรีวิไลย์,18,v62_cand_18,152,0.17,19,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_8,รักษ์ผืนป่าประเทศไทย,8,v62_cand_8,150,0.17,20,0,89152,0
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,v62_9,ประชาภิวัฒน์,9,v62_cand_9,134,0.15,21,0,89152,0
