year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,votes,vote_pct,rank
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_240,240,240,17,0,54
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_217,217,217,17,0,55
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_189,189,189,16,0,56
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_155,155,155,14,0,57
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_157,157,157,13,0,58
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_129,129,129,12,0,60
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_209,209,209,12,0,61
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_186,186,186,7,0,63
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_184,184,184,7,0,64
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_249,249,249,5,0,65
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_198,198,198,5,0,66
2566,pv_85_z_1,pv_85,,,1,ely_y2566_id_154,154,154,5,0,67
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_164,164,164,54294,47.0,1
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_229,229,229,22455,19.0,2
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_34,,34,18979,16.0,3
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_1,,1,3466,3.0,4
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_192,192,192,1781,1.0,5
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_109,,109,1755,1.0,6
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_63,,63,1396,1.0,7
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_145,145,145,1361,1.0,8
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_118,,118,1141,1.0,9
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_242,242,242,858,0,10
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_227,227,227,699,0,11
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_245,245,245,452,0,12
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_234,234,234,442,0,13
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_45,,45,369,0,14
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_185,185,185,352,0,15
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_252,252,252,319,0,16
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_244,244,244,254,0,17
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_221,221,221,243,0,18
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_250,250,250,193,0,19
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_203,203,203,185,0,20
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_149,149,149,179,0,21
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_55,,55,164,0,22
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_170,170,170,154,0,23
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_183,183,183,151,0,24
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_238,238,238,149,0,25
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_247,247,247,141,0,26
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_246,246,246,128,0,27
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_226,226,226,123,0,28
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_205,205,205,116,0,30
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_204,204,204,116,0,31
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_187,187,187,110,0,32
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_237,237,237,95,0,33
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_228,228,228,73,0,34
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_175,175,175,72,0,35
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_172,172,172,72,0,36
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_243,243,243,72,0,37
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_181,181,181,68,0,38
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_180,180,180,59,0,39
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_211,211,211,56,0,40
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_206,206,206,50,0,41
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_178,178,178,48,0,42
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_236,236,236,45,0,44
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_153,153,153,41,0,45
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_133,133,133,37,0,46
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_230,230,230,33,0,48
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_241,241,241,29,0,49
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_155,155,155,27,0,50
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_173,173,173,27,0,51
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_188,188,188,23,0,52
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_157,157,157,20,0,53
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_232,232,232,19,0,54
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_209,209,209,19,0,55
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_217,217,217,18,0,56
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_184,184,184,15,0,57
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_129,129,129,14,0,58
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_235,235,235,12,0,59
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_249,249,249,12,0,60
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_240,240,240,10,0,61
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_186,186,186,10,0,62
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_154,154,154,9,0,63
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_189,189,189,8,0,66
2566,pv_75_z_1,pv_75,,,1,ely_y2566_id_198,198,198,4,0,67
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_164,164,164,48951,39.0,1
2566,pv_17_z_1,pv_17,,,1,ely_y2566_id_229,229,229,14068,11.0,3
